0,Rank,Song,Artist,Year
1822,22,electric avenue,eddy grant,1983
1823,23,she blinded me with science,thomas dolby,1983
1824,24,africa,toto,1983
1825,25,little red corvette,prince,1983
1826,26,back on the chain gang,the pretenders,1983
1827,27,up where we belong,joe cocker and jennifer warnes,1983
1828,28,mr roboto,styx,1983
1829,29,you are,lionel richie,1983
1830,30,der kommissar,after the fire,1983
1831,31,puttin on the ritz,taco,1983
1832,32,sexual healing,marvin gaye,1983
1833,33,keep feeling fascination,the human league,1983
1834,34,time clock of the heart,culture club,1983
1835,35,the safety dance,men without hats,1983
1836,36,mickey,toni basil,1983
1837,37,you cant hurry love,phil collins,1983
1838,38,separate ways worlds apart,journey,1983
1839,39,one on one,daryl hall  john oates,1983
1840,40,weve got tonight,kenny rogers and sheena easton,1983
1841,41,1999,prince,1983
1842,42,stray cat strut,stray cats,1983
1843,43,allentown,billy joel,1983
1844,44,stand back,stevie nicks,1983
1845,45,tell her about it,billy joel,1983
1846,46,always something there to remind me,naked eyes,1983
1847,47,truly,lionel richie,1983
1848,48,dirty laundry,don henley,1983
1849,49,the girl is mine,michael jackson and paul mccartney,1983
1850,50,too shy,kajagoogoo,1983
1851,51,goody twoshoes,adam ant,1983
1852,52,rock the casbah,the clash,1983
1853,53,our house,madness,1983
1854,54,overkill,men at work,1983
1855,55,is there something i should know,duran duran,1983
1856,56,gloria,laura branigan,1983
1857,57,affair of the heart,rick springfield,1983
1858,58,shes a beauty,the tubes,1983
1859,59,solitaire,laura branigan,1983
1860,60,dont let it end,styx,1983
1861,61,how am i supposed to live without you,laura branigan,1983
1862,62,china girl,david bowie,1983
1863,63,come dancing,the kinks,1983
1864,64,promises promises,naked eyes,1983
1865,65,the other guy,little river band,1983
1866,66,making love out of nothing at all,air supply,1983
1867,67,family man,daryl hall  john oates,1983
1868,68,wanna be startin somethin,michael jackson,1983
1869,69,i wont hold you back,toto,1983
1870,70,all right,christopher cross,1983
1871,71,straight from the heart,bryan adams,1983
1872,72,heart to heart,kenny loggins,1983
1873,73,my love,lionel richie,1983
1874,74,im still standing,elton john,1983
1875,75,hot girls in love,loverboy,1983
1876,76,its a mistake,men at work,1983
1877,77,ill tumble 4 ya,culture club,1983
1878,78,all this love,debarge,1983
1879,79,your love is driving me crazy,sammy hagar,1983
1880,80,heartbreaker,dionne warwick,1983
1881,81,faithfully,journey,1983
1882,82,steppin out,joe jackson,1983
1883,83,take me to heart,quarterflash,1983
1884,84,shes sexy  17,stray cats,1983
1885,85,try again,champaign,1983
1886,86,dead giveaway,shalamar,1983
1887,87,lawyers in love,jackson browne,1983
1888,88,what about me,moving pictures,1983
1889,89,human nature,michael jackson,1983
1890,90,photograph,def leppard,1983
1891,91,pass the dutchie,musical youth,1983
1892,92,TRUE,spandau ballet,1983
1893,93,far from over,frank stallone,1983
1894,94,ive got a rock n roll heart,eric clapton,1983
1895,95,it might be you,stephen bishop,1983
1896,96,tonight i celebrate my love,peabo bryson and roberta flack,1983
1897,97,you got lucky,tom petty and the heartbreakers,1983
1898,98,dont cry,asia,1983
1899,99,breaking us in two,joe jackson,1983
1900,100,fall in love with me,earth wind  fire,1983
1901,1,when doves cry,prince,1984
1902,2,whats love got to do with it,tina turner,1984
1903,3,say say say,paul mccartney and michael jackson,1984
1904,4,footloose,kenny loggins,1984
1905,5,against all odds take a look at me now,phil collins,1984
1906,6,jump,van halen,1984
1907,7,hello,lionel richie,1984
1908,8,owner of a lonely heart,yes,1984
1909,9,ghostbusters,ray parker jr,1984
1910,10,karma chameleon,culture club,1984
1911,11,missing you,john waite,1984
1912,12,all night long all night,lionel richie,1984
1913,13,lets hear it for the boy,deniece williams,1984
1914,14,dancing in the dark,bruce springsteen,1984
1915,15,girls just want to have fun,cyndi lauper,1984
1916,16,the reflex,duran duran,1984
1917,17,time after time,cyndi lauper,1984
1918,18,jump for my love,pointer sisters,1984
1919,19,talking in your sleep,the romantics,1984
1920,20,self control,laura branigan,1984
1921,21,lets go crazy,prince and the revolution,1984
1922,22,say it isnt so,daryl hall  john oates,1984
1923,23,hold me now,thompson twins,1984
1924,24,joanna,kool  the gang,1984
1925,25,i just called to say i love you,stevie wonder,1984
1926,26,somebodys watching me,rockwell,1984
1927,27,break my stride,matthew wilder,1984
1928,28,99 luftballons,nena,1984
1929,29,i can dream about you,dan hartman,1984
1930,30,the glamorous life,sheila e,1984
1931,31,oh sherrie,steve perry,1984
1932,32,stuck on you,lionel richie,1984
1933,33,i guess thats why they call it the blues,elton john,1984
1934,34,she bop,cyndi lauper,1984
1935,35,borderline,madonna,1984
1936,36,sunglasses at night,corey hart,1984
1937,37,eyes without a face,billy idol,1984
1938,38,here comes the rain again,eurythmics,1984
1939,39,uptown girl,billy joel,1984
1940,40,sister christian,night ranger,1984
1941,41,drive,the cars,1984
1942,42,twist of fate,olivia newtonjohn,1984
1943,43,union of the snake,duran duran,1984
1944,44,the heart of rock  roll,huey lewis and the news,1984
1945,45,hard habit to break,chicago,1984
1946,46,the warrior,scandal,1984
1947,47,if ever youre in my arms again,peabo bryson,1984
1948,48,automatic,pointer sisters,1984
1949,49,let the music play,shannon,1984
1950,50,to all the girls ive loved before,julio iglesias and willie nelson,1984
1951,51,caribbean queen,billy ocean,1984
1952,52,thats all,genesis,1984
1953,53,running with the night,lionel richie,1984
1954,54,sad songs say so much,elton john,1984
1955,55,i want a new drug,huey lewis and the news,1984
1956,56,islands in the stream,kenny rogers and dolly parton,1984
1957,57,love is a battlefield,pat benatar,1984
1958,58,infatuation,rod stewart,1984
1959,59,almost paradise,mike reno and ann wilson,1984
1960,60,legs,zz top,1984
1961,61,state of shock,the jacksons,1984
1962,62,love somebody,rick springfield,1984
1963,63,miss me blind,culture club,1984
1964,64,if this is it,huey lewis and the news,1984
1965,65,you might think,the cars,1984
1966,66,lucky star,madonna,1984
1967,67,cover me,bruce springsteen,1984
1968,68,cum on feel the noize,quiet riot,1984
1969,69,breakdance,irene cara,1984
1970,70,adult education,daryl hall  john oates,1984
1971,71,they dont know,tracey ullman,1984
1972,72,an innocent man,billy joel,1984
1973,73,cruel summer,bananarama,1984
1974,74,dance hall days,wang chung,1984
1975,75,give it up,kc  the sunshine band,1984
1976,76,im so excited,the pointer sisters,1984
1977,77,i still cant get over loving you,ray parker jr,1984
1978,78,thriller,michael jackson,1984
1979,79,holiday,madonna,1984
1980,80,breakin theres no stopping us,ollie  jerry,1984
1981,81,nobody told me,john lennon,1984
1982,82,church of the poison mind,culture club,1984
1983,83,think of laura,christopher cross,1984
1984,84,time will reveal,debarge,1984
1985,85,wrapped around your finger,the police,1984
1986,86,pink houses,john cougar mellencamp,1984
1987,87,round and round,ratt,1984
1988,88,head over heels,the gogos,1984
1989,89,the longest time,billy joel,1984
1990,90,tonight,kool  the gang,1984
1991,91,got a hold on me,christine mcvie,1984
1992,92,dancing in the sheets,shalamar,1984
1993,93,undercover of the night,the rolling stones,1984
1994,94,on the dark side,john cafferty  the beaver brown band,1984
1995,95,new moon on monday,duran duran,1984
1996,96,major tom coming home,peter schilling,1984
1997,97,magic,the cars,1984
1998,98,when you close your eyes,night ranger,1984
1999,99,rock me tonite,billy squier,1984
2000,100,yah mo b there,james ingram and michael mcdonald,1984
2001,1,careless whisper,wham featuring george michael,1985
2002,2,like a virgin,madonna,1985
2003,3,wake me up before you gogo,wham,1985
2004,4,i want to know what love is,foreigner,1985
2005,5,i feel for you,chaka khan,1985
2006,6,out of touch,daryl hall  john oates,1985
2007,7,everybody wants to rule the world,tears for fears,1985
2008,8,money for nothing,dire straits,1985
2009,9,crazy for you,madonna,1985
2010,10,take on me,aha,1985
2011,11,everytime you go away,paul young,1985
2012,12,easy lover,philip bailey and phil collins,1985
2013,13,cant fight this feeling,reo speedwagon,1985
2014,14,we built this city,starship,1985
2015,15,the power of love,huey lewis and the news,1985
2016,16,dont you forget about me,simple minds,1985
2017,17,cherish,kool  the gang,1985
2018,18,st elmos fire man in motion,john parr,1985
2019,19,the heat is on,glenn frey,1985
2020,20,we are the world,usa for africa,1985
2021,21,shout,tears for fears,1985
2022,22,parttime lover,stevie wonder,1985
2023,23,saving all my love for you,whitney houston,1985
2024,24,heaven,bryan adams,1985
2025,25,everything she wants,wham,1985
2026,26,cool it now,new edition,1985
2027,27,miami vice theme,jan hammer,1985
2028,28,loverboy,billy ocean,1985
2029,29,lovergirl,teena marie,1985
2030,30,you belong to the city,glenn frey,1985
2031,31,oh sheila,ready for the world,1985
2032,32,rhythm of the night,debarge,1985
2033,33,one more night,phil collins,1985
2034,34,sea of love,the honeydrippers,1985
2035,35,a view to a kill,duran duran,1985
2036,36,the wild boys,duran duran,1985
2037,37,youre the inspiration,chicago,1985
2038,38,neutron dance,the pointer sisters,1985
2039,39,we belong,pat benatar,1985
2040,40,nightshift,commodores,1985
2041,41,things can only get better,howard jones,1985
2042,42,all i need,jack wagner,1985
2043,43,freeway of love,aretha franklin,1985
2044,44,never surrender,corey hart,1985
2045,45,sussudio,phil collins,1985
2046,46,strut,sheena easton,1985
2047,47,you give good love,whitney houston,1985
2048,48,the search is over,survivor,1985
2049,49,missing you,diana ross,1985
2050,50,separate lives,phil collins and marilyn martin,1985
2051,51,raspberry beret,prince and the revolution,1985
2052,52,suddenly,billy ocean,1985
2053,53,the boys of summer,don henley,1985
2054,54,one night in bangkok,murray head,1985
2055,55,if you love somebody set them free,sting,1985
2056,56,obsession,animotion,1985
2057,57,we dont need another hero,tina turner,1985
2058,58,material girl,madonna,1985
2059,59,better be good to me,tina turner,1985
2060,60,head over heels,tears for fears,1985
2061,61,axel f,harold faltermeyer,1985
2062,62,smooth operator,sade,1985
2063,63,in my house,mary jane girls,1985
2064,64,dont lose my number,phil collins,1985
2065,65,all through the night,cyndi lauper,1985
2066,66,run to you,bryan adams,1985
2067,67,glory days,bruce springsteen,1985
2068,68,voices carry,til tuesday,1985
2069,69,misled,kool  the gang,1985
2070,70,would i lie to you,eurythmics,1985
2071,71,be near me,abc,1985
2072,72,no more lonely nights,paul mccartney,1985
2073,73,i cant hold back,survivor,1985
2074,74,summer of 69,bryan adams,1985
2075,75,walking on sunshine,katrina and the waves,1985
2076,76,freedom,wham,1985
2077,77,too late for goodbyes,julian lennon,1985
2078,78,valotte,julian lennon,1985
2079,79,some like it hot,power station,1985
2080,80,solid,ashford  simpson,1985
2081,81,angel,madonna,1985
2082,82,im on fire,bruce springsteen,1985
2083,83,method of modern love,daryl hall  john oates,1985
2084,84,lay your hands on me,thompson twins,1985
2085,85,whos holding donna now,debarge,1985
2086,86,lonely ol night,john cougar mellencamp,1985
2087,87,what about love,heart,1985
2088,88,california girls,david lee roth,1985
2089,89,fresh,kool  the gang,1985
2090,90,do what you do,jermaine jackson,1985
2091,91,jungle love,the time,1985
2092,92,born in the usa,bruce springsteen,1985
2093,93,private dancer,tina turner,1985
2094,94,whos zoomin who,aretha franklin,1985
2095,95,fortress around your heart,sting,1985
2096,96,penny lover,lionel richie,1985
2097,97,all she wants to do is dance,don henley,1985
2098,98,dress you up,madonna,1985
2099,99,sentimental street,night ranger,1985
2100,100,sugar walls,sheena easton,1985
2101,1,thats what friends are for,dionne and friends dionne warwick gladys knight elton john and stevie wonder,1986
2102,2,say you say me,lionel richie,1986
2103,3,i miss you,klymaxx,1986
2104,4,on my own,patti labelle and michael mcdonald,1986
2105,5,broken wings,mr mister,1986
2106,6,how will i know,whitney houston,1986
2107,7,party all the time,eddie murphy,1986
2108,8,burning heart,survivor,1986
2109,9,kyrie,mr mister,1986
2110,10,addicted to love,robert palmer,1986
2111,11,greatest love of all,whitney houston,1986
2112,12,secret lovers,atlantic starr,1986
2113,13,friends and lovers,gloria loring and carl anderson,1986
2114,14,glory of love,peter cetera,1986
2115,15,west end girls,pet shop boys,1986
2116,16,therell be sad songs to make you cry,billy ocean,1986
2117,17,alive and kicking,simple minds,1986
2118,18,never,heart,1986
2119,19,kiss,prince and the revolution,1986
2120,20,higher love,steve winwood,1986
2121,21,stuck with you,huey lewis and the news,1986
2122,22,holding back the years,simply red,1986
2123,23,sledgehammer,peter gabriel,1986
2124,24,sara,starship,1986
2125,25,human,the human league,1986
2126,26,i cant wait,nu shooz,1986
2127,27,take my breath away,berlin,1986
2128,28,rock me amadeus,falco,1986
2129,29,papa dont preach,madonna,1986
2130,30,you give love a bad name,bon jovi,1986
2131,31,when the going gets tough the tough get going,billy ocean,1986
2132,32,when i think of you,janet jackson,1986
2133,33,these dreams,heart,1986
2134,34,dont forget me when im gone,glass tiger,1986
2135,35,live to tell,madonna,1986
2136,36,mad about you,belinda carlisle,1986
2137,37,something about you,level 42,1986
2138,38,venus,bananarama,1986
2139,39,dancing on the ceiling,lionel richie,1986
2140,40,conga,miami sound machine,1986
2141,41,true colors,cyndi lauper,1986
2142,42,danger zone,kenny loggins,1986
2143,43,what have you done for me lately,janet jackson,1986
2144,44,no one is to blame,howard jones,1986
2145,45,lets go all the way,sly fox,1986
2146,46,i didnt mean to turn you on,robert palmer,1986
2147,47,words get in the way,miami sound machine,1986
2148,48,manic monday,the bangles,1986
2149,49,walk of life,dire straits,1986
2150,50,amanda,boston,1986
2151,51,two of hearts,stacey q,1986
2152,52,crush on you,the jets,1986
2153,53,if you leave,orchestral manoeuvres in the dark,1986
2154,54,invisible touch,genesis,1986
2155,55,the sweetest taboo,sade,1986
2156,56,what you need,inxs,1986
2157,57,talk to me,stevie nicks,1986
2158,58,nasty,janet jackson,1986
2159,59,take me home tonight,eddie money,1986
2160,60,we dont have to take our clothes off,jermaine stewart,1986
2161,61,all cried out,lisa lisa and cult jam,1986
2162,62,your love,the outfield,1986
2163,63,im your man,wham,1986
2164,64,perfect way,scritti politti,1986
2165,65,living in america,james brown,1986
2166,66,rock in the usa,john cougar mellencamp,1986
